LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-3.8582,102.3367,96253,Stasiun Meteorologi Fatmawati Soekarno,FM 35,from CIPS,24,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1006,-888888.00000,24.6,23.1,1,90,-1,0,91.4,-888888.00000,
1000,67,25,22.6,3.1,120,-2.7,1.5,86.6,-888888.00000,
996,-888888.00000,26,22.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81.6,-888888.00000,
974,-888888.00000,-888888.00000,-888888.00000,9.8,135,-6.9,6.9,-888888.00000,-888888.00000,
925,756,23,19.6,3.6,115,-3.3,1.5,81.2,-888888.00000,
879,-888888.00000,-888888.00000,-888888.00000,2.6,110,-2.4,0.9,-888888.00000,-888888.00000,
855,-888888.00000,18.6,16.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,85.9,-888888.00000,
850,1494,18.2,15.9,3.1,55,-2.5,-1.8,86.4,-888888.00000,
820,-888888.00000,-888888.00000,-888888.00000,1,200,0.3,0.9,-888888.00000,-888888.00000,
791,-888888.00000,16.2,9.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,63.2,-888888.00000,
765,-888888.00000,-888888.00000,-888888.00000,6.7,285,6.5,-1.7,-888888.00000,-888888.00000,
727,-888888.00000,11.2,6.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,73.8,-888888.00000,
712,-888888.00000,-888888.00000,-888888.00000,6.2,280,6.1,-1.1,-888888.00000,-888888.00000,
700,3140,9.4,2.4,4.6,280,4.5,-0.8,61.6,-888888.00000,
687,-888888.00000,-888888.00000,-888888.00000,3.6,310,2.8,-2.3,-888888.00000,-888888.00000,
678,-888888.00000,7.6,-1.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,52.9,-888888.00000,
672,-888888.00000,7,2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,70.5,-888888.00000,
670,-888888.00000,7,2.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,71,-888888.00000,
664,-888888.00000,7.6,-2.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,49.2,-888888.00000,
662,-888888.00000,-888888.00000,-888888.00000,1.5,110,-1.4,0.5,-888888.00000,-888888.00000,
655,-888888.00000,6.6,-1.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,56.7,-888888.00000,
651,-888888.00000,6,-1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.8,-888888.00000,
648,-888888.00000,5.8,-1.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.8,-888888.00000,
641,-888888.00000,8.2,-1.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,49.3,-888888.00000,
