LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-0.14206,109.45,96581,Stasiun Meteorologi Supadio,FM 35,from CIPS,3,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1009,-888888.00000,25.4,24.2,3.1,130,-2.4,2,93.1,-888888.00000,
1000,85,24.6,23.6,5.1,155,-2.2,4.6,94.2,-888888.00000,
976,-888888.00000,-888888.00000,-888888.00000,10.3,145,-5.9,8.4,-888888.00000,-888888.00000,
969,-888888.00000,25,21.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,82.9,-888888.00000,
925,771,23,19.9,6.7,140,-4.3,5.1,82.7,-888888.00000,
912,-888888.00000,-888888.00000,-888888.00000,5.1,140,-3.3,3.9,-888888.00000,-888888.00000,
861,-888888.00000,18.8,16.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,87.6,-888888.00000,
851,-888888.00000,-888888.00000,-888888.00000,4.6,90,-4.6,0,-888888.00000,-888888.00000,
850,1506,18.2,15.5,4.6,95,-4.6,0.4,84.3,-888888.00000,
848,-888888.00000,18.2,15,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81.6,-888888.00000,
821,-888888.00000,-888888.00000,-888888.00000,3.6,145,-2.1,2.9,-888888.00000,-888888.00000,
809,-888888.00000,18.6,-0.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,27.7,-888888.00000,
793,-888888.00000,-888888.00000,-888888.00000,6.2,180,0,6.2,-888888.00000,-888888.00000,
765,-888888.00000,-888888.00000,-888888.00000,5.7,185,0.5,5.7,-888888.00000,-888888.00000,
739,-888888.00000,-888888.00000,-888888.00000,4.6,175,-0.4,4.6,-888888.00000,-888888.00000,
713,-888888.00000,-888888.00000,-888888.00000,3.6,180,0,3.6,-888888.00000,-888888.00000,
700,3150,10.4,-3.6,3.1,145,-1.8,2.5,37.2,-888888.00000,
664,-888888.00000,8,-1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,53,-888888.00000,
663,-888888.00000,-888888.00000,-888888.00000,3.6,360,0,-3.6,-888888.00000,-888888.00000,
627,-888888.00000,6.4,-10.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,28.5,-888888.00000,
594,-888888.00000,-888888.00000,-888888.00000,3.1,230,2.4,2,-888888.00000,-888888.00000,
585,-888888.00000,3,-9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,41,-888888.00000,
576,-888888.00000,2.4,-16.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,23.1,-888888.00000,
572,-888888.00000,-888888.00000,-888888.00000,5.7,225,4,4,-888888.00000,-888888.00000,
552,-888888.00000,-888888.00000,-888888.00000,4.6,205,1.9,4.2,-888888.00000,-888888.00000,
547,-888888.00000,0,-13,-888888.00000,-888888.00000,-888888.00000,-888888.00000,36.9,-888888.00000,
511,-888888.00000,-888888.00000,-888888.00000,3.6,160,-1.2,3.4,-888888.00000,-888888.00000,
506,-888888.00000,-4.7,-14.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,45.5,-888888.00000,
500,5880,-5.3,-15.3,4.6,125,-3.8,2.6,45.3,-888888.00000,
492,-888888.00000,-888888.00000,-888888.00000,8.2,110,-7.7,2.8,-888888.00000,-888888.00000,
467,-888888.00000,-6.5,-21.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,29.3,-888888.00000,
439,-888888.00000,-888888.00000,-888888.00000,11.3,115,-10.2,4.8,-888888.00000,-888888.00000,
420,-888888.00000,-13.1,-23.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,42.9,-888888.00000,
400,7600,-15.9,-19.7,10.8,75,-10.4,-2.8,72.6,-888888.00000,
399,-888888.00000,-16.1,-19.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,75,-888888.00000,
374,-888888.00000,-888888.00000,-888888.00000,8.7,65,-7.9,-3.7,-888888.00000,-888888.00000,
364,-888888.00000,-21.5,-24.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,78.1,-888888.00000,
351,-888888.00000,-23.5,-26,-888888.00000,-888888.00000,-888888.00000,-888888.00000,79.9,-888888.00000,
