LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-1.26,116.9,96633,Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan,FM 35,from CIPS,3,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1010,-888888.00000,26.8,23.8,2.1,260,2.1,0.4,83.7,-888888.00000,
1000,92,26.8,24.2,2.6,240,2.3,1.3,85.7,-888888.00000,
977,-888888.00000,-888888.00000,-888888.00000,4.6,180,0,4.6,-888888.00000,-888888.00000,
954,-888888.00000,24,22.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,92.5,-888888.00000,
944,-888888.00000,-888888.00000,-888888.00000,6.7,170,-1.2,6.6,-888888.00000,-888888.00000,
925,775,22.6,19.6,7.2,165,-1.9,7,83.2,-888888.00000,
912,-888888.00000,-888888.00000,-888888.00000,6.2,175,-0.5,6.2,-888888.00000,-888888.00000,
881,-888888.00000,-888888.00000,-888888.00000,4.6,155,-1.9,4.2,-888888.00000,-888888.00000,
851,-888888.00000,-888888.00000,-888888.00000,2.6,30,-1.3,-2.3,-888888.00000,-888888.00000,
850,1509,19.8,13.8,2.6,25,-1.1,-2.4,68.3,-888888.00000,
848,-888888.00000,19.8,12.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,64,-888888.00000,
794,-888888.00000,-888888.00000,-888888.00000,2.6,35,-1.5,-2.1,-888888.00000,-888888.00000,
786,-888888.00000,14.8,8.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,67.3,-888888.00000,
766,-888888.00000,-888888.00000,-888888.00000,2.1,100,-2.1,0.4,-888888.00000,-888888.00000,
757,-888888.00000,14.2,6.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,58.6,-888888.00000,
739,-888888.00000,-888888.00000,-888888.00000,3.1,130,-2.4,2,-888888.00000,-888888.00000,
713,-888888.00000,-888888.00000,-888888.00000,1,80,-1,-0.2,-888888.00000,-888888.00000,
700,3159,9.8,3.8,1.5,90,-1.5,0,66.2,-888888.00000,
688,-888888.00000,-888888.00000,-888888.00000,1.5,115,-1.4,0.6,-888888.00000,-888888.00000,
