LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
3.91206,108.39,96147,Stasiun Meteorologi Ranai,FM 35,from CIPS,2,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1010,-888888.00000,25.4,24.5,1,300,0.9,-0.5,94.8,-888888.00000,
1000,93,26.6,25.4,3.1,250,2.9,1.1,93.1,-888888.00000,
991,-888888.00000,26.8,25.4,5.1,165,-1.3,4.9,92.1,-888888.00000,
980,-888888.00000,26,24.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,91.5,-888888.00000,
928,-888888.00000,22.6,20.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,89,-888888.00000,
825,-888888.00000,15.8,13,-888888.00000,-888888.00000,-888888.00000,-888888.00000,83.4,-888888.00000,
700,-888888.00000,7.6,3.9,7.2,160,-2.5,6.8,77.4,-888888.00000,
643,-888888.00000,4,-0.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,74.6,-888888.00000,
500,5860,-5.5,-10.5,8.2,155,-3.5,7.4,67.9,-888888.00000,
416,-888888.00000,-888888.00000,-888888.00000,8.7,155,-3.7,7.9,-888888.00000,-888888.00000,
415,-888888.00000,-11.3,-15.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,70.5,-888888.00000,
400,7140,-12.7,-18.7,7.7,130,-5.9,4.9,60.8,-888888.00000,
354,-888888.00000,-888888.00000,-888888.00000,13.4,65,-12.1,-5.7,-888888.00000,-888888.00000,
352,-888888.00000,-17.7,-26.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,45.3,-888888.00000,
321,-888888.00000,-23.1,-27.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,68.4,-888888.00000,
300,9280,-27.1,-32.1,15.9,75,-15.4,-4.1,62.5,-888888.00000,
266,-888888.00000,-32.5,-44.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,29.2,-888888.00000,
250,10570,-35.5,-40.5,23.7,70,-22.3,-8.1,60.1,-888888.00000,
232,-888888.00000,-39.3,-50.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,30.1,-888888.00000,
220,-888888.00000,-41.7,-52.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,29.2,-888888.00000,
200,12080,-47.7,-59.7,30.4,60,-26.3,-15.2,23.8,-888888.00000,
181,-888888.00000,-53.3,-64.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,24.9,-888888.00000,
178,-888888.00000,-888888.00000,-888888.00000,32.9,60,-28.5,-16.5,-888888.00000,-888888.00000,
172,-888888.00000,-55.5,-71.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,11.9,-888888.00000,
150,13910,-62.5,-75.5,21.1,80,-20.8,-3.7,15.9,-888888.00000,
123,-888888.00000,-72.3,-81.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,24.8,-888888.00000,
100,16300,-80.3,-88.3,12.9,35,-7.4,-10.6,25.6,-888888.00000,
96,-888888.00000,-888888.00000,-888888.00000,15.4,35,-8.8,-12.6,-888888.00000,-888888.00000,
91,-888888.00000,-83.7,-91.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,24.1,-888888.00000,
70,-888888.00000,-77.1,-84.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,32.1,-888888.00000,
50,-888888.00000,-64.7,-88.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,2.4,-888888.00000,
47,-888888.00000,-67.1,-94.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,1.2,-888888.00000,
27,-888888.00000,-57.1,-87.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,1.2,-888888.00000,
20,-888888.00000,-57.3,-87.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,1.2,-888888.00000,
17,-888888.00000,-51.3,-83.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,1.1,-888888.00000,
10,-888888.00000,-51.9,-83.9,4.6,175,-0.4,4.6,1.1,-888888.00000,
