LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-10.18861,123.52906,97370,Stasiun Meteorologi Maritim Tenau,FM 12,from BMKGSoft,23,2024-07-29 00:00,1009.3,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
-888888.00000,23,28.1,18.3,4,90,-4,-2.44929359829471e-16,55,-888888.00000,
