LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-5.4721,105.321,96293,Stasiun Meteorologi Maritim Panjang,FM 12,from BMKGSoft,7,2024-07-29 00:00,1010.2,1009.9,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1009.9,7,25.2,23.8,0,0,0,0,92,-888888.00000,
