LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-2.73,111.66,96645,Stasiun Meteorologi Iskandar,FM 35,from CIPS,22,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1005,-888888.00000,25.2,24,-888888.00000,-888888.00000,-888888.00000,-888888.00000,93.1,-888888.00000,
1000,73,25.4,25.4,3.6,150,-1.8,3.1,100,-888888.00000,
978,-888888.00000,-888888.00000,-888888.00000,10.8,125,-8.8,6.2,-888888.00000,-888888.00000,
975,-888888.00000,24.8,24.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
945,-888888.00000,23.8,22.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,90.8,-888888.00000,
925,759,22.4,21.7,8.2,95,-8.2,0.7,95.8,-888888.00000,
910,-888888.00000,21.6,21.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,97.6,-888888.00000,
850,1494,17.6,17.6,7.7,100,-7.6,1.3,100,-888888.00000,
819,-888888.00000,15.6,15.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
791,-888888.00000,14.6,13.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,91.9,-888888.00000,
700,3125,10,4,4.6,60,-4,-2.3,66.3,-888888.00000,
681,-888888.00000,-888888.00000,-888888.00000,7.2,55,-5.9,-4.1,-888888.00000,-888888.00000,
637,-888888.00000,7.8,-10.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,26.7,-888888.00000,
615,-888888.00000,6,-10,-888888.00000,-888888.00000,-888888.00000,-888888.00000,30.7,-888888.00000,
573,-888888.00000,-888888.00000,-888888.00000,3.6,270,3.6,0,-888888.00000,-888888.00000,
500,5850,-4.7,-12.7,6.7,175,-0.6,6.7,53.6,-888888.00000,
481,-888888.00000,-6.7,-13.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,57.5,-888888.00000,
458,-888888.00000,-7.7,-18.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,41,-888888.00000,
420,-888888.00000,-888888.00000,-888888.00000,7.7,115,-7,3.3,-888888.00000,-888888.00000,
400,7570,-15.9,-20.7,11.8,85,-11.8,-1,66.6,-888888.00000,
385,-888888.00000,-18.1,-21.3,14.9,60,-12.9,-7.5,76,-888888.00000,
366,-888888.00000,-21.1,-24.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,75.4,-888888.00000,
300,9680,-24.7,-39.7,22.1,70,-20.8,-7.6,23.5,-888888.00000,
250,10940,-38.3,-59.3,17,85,-16.9,-1.5,9.2,-888888.00000,
