LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-0.89118,131.28575,97502,Stasiun Meteorologi Domine Eduard Osok,FM 35,from CIPS,0,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1012,-888888.00000,28,24.8,3.1,280,3.1,-0.5,82.8,-888888.00000,
1000,108,26.4,25.1,3.1,160,-1.1,2.9,92.6,-888888.00000,
979,-888888.00000,24.6,24.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
958,-888888.00000,22.8,22.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
925,793,21.4,21.4,5.7,160,-1.9,5.4,100,-888888.00000,
914,-888888.00000,20.8,20.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
868,-888888.00000,17.8,17.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
850,1523,17.4,17.4,2.6,100,-2.6,0.5,100,-888888.00000,
839,-888888.00000,-888888.00000,-888888.00000,3.6,100,-3.5,0.6,-888888.00000,-888888.00000,
794,-888888.00000,16,10,-888888.00000,-888888.00000,-888888.00000,-888888.00000,67.6,-888888.00000,
786,-888888.00000,16,9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,63.2,-888888.00000,
762,-888888.00000,-888888.00000,-888888.00000,5.7,180,0,5.7,-888888.00000,-888888.00000,
750,-888888.00000,14.6,5.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,54.8,-888888.00000,
700,3170,11.6,2.6,0.5,90,-0.5,0,54,-888888.00000,
652,-888888.00000,8.8,-9.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,27,-888888.00000,
640,-888888.00000,8,-6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,36.5,-888888.00000,
620,-888888.00000,-888888.00000,-888888.00000,6.2,315,4.4,-4.4,-888888.00000,-888888.00000,
618,-888888.00000,5.8,-10.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,30.6,-888888.00000,
609,-888888.00000,5,-12,-888888.00000,-888888.00000,-888888.00000,-888888.00000,28.1,-888888.00000,
572,-888888.00000,1.4,-1.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,79.8,-888888.00000,
559,-888888.00000,-888888.00000,-888888.00000,5.7,275,5.7,-0.5,-888888.00000,-888888.00000,
500,5900,-5.3,-7.4,3.1,45,-2.2,-2.2,85.2,-888888.00000,
472,-888888.00000,-8.9,-9.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,97.7,-888888.00000,
423,-888888.00000,-15.1,-15.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
403,-888888.00000,-888888.00000,-888888.00000,11.8,70,-11.1,-4,-888888.00000,-888888.00000,
400,7610,-17.1,-17.1,12.3,70,-11.6,-4.2,100,-888888.00000,
376,-888888.00000,-20.1,-20.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
373,-888888.00000,-19.1,-19.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
343,-888888.00000,-23.3,-23.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,100,-888888.00000,
313,-888888.00000,-27.9,-32.2,21.6,70,-20.3,-7.4,66.6,-888888.00000,
