LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-8.52019,140.41568,97980,Stasiun Meteorologi Mopah,FM 35,from CIPS,0,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1015,-888888.00000,25.6,21.7,3.1,120,-2.7,1.5,79.1,-888888.00000,
1000,133,24,21.1,3.1,135,-2.2,2.2,83.9,-888888.00000,
925,813,18.8,17.3,12.3,120,-10.7,6.1,91,-888888.00000,
850,1538,17.2,12.2,5.1,135,-3.6,3.6,72.4,-888888.00000,
700,3181,10.2,1.2,3.1,45,-2.2,-2.2,53.6,-888888.00000,
500,5910,-2.9,-31.9,5.7,95,-5.7,0.5,8.6,-888888.00000,
400,7630,-14.9,-22.9,5.7,60,-4.9,-2.9,50.5,-888888.00000,
300,9750,-29.9,-41.9,3.1,345,0.8,-3,30.1,-888888.00000,
250,11020,-38.5,-63.5,8.7,30,-4.3,-7.5,5.4,-888888.00000,
200,12510,-51.7,-72.7,2.1,80,-2.1,-0.4,6.3,-888888.00000,
150,14320,-66.5,-77.5,12.3,150,-6.1,10.7,19.9,-888888.00000,
100,16680,-82.3,-89.3,9.3,135,-6.6,6.6,29.7,-888888.00000,
