LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-7.7189,109.0149,96805,Stasiun Meteorologi Tunggul Wulung,FM 35,from CIPS,8,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1000,114,24.2,22.2,1.5,90,-1.5,0,88.6,-888888.00000,
979,-888888.00000,23.2,21.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,88,-888888.00000,
945,-888888.00000,-888888.00000,-888888.00000,6.7,160,-2.3,6.3,-888888.00000,-888888.00000,
925,792,19.8,19.2,6.7,125,-5.5,3.8,96.3,-888888.00000,
914,-888888.00000,19.2,18.9,6.7,105,-6.5,1.7,98.1,-888888.00000,
