LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-2.57,140.48,97690,Stasiun Meteorologi Sentani,FM 35,from CIPS,96,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1002,-888888.00000,28.2,23.7,1,260,1,0.2,76.6,-888888.00000,
1000,-888888.00000,27.4,22.4,1.5,50,-1.1,-1,74.2,-888888.00000,
979,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0,-888888.00000,-888888.00000,-888888.00000,-888888.00000,
946,-888888.00000,-888888.00000,-888888.00000,1,140,-0.6,0.8,-888888.00000,-888888.00000,
925,-888888.00000,23.6,17.6,0.5,110,-0.5,0.2,69.1,-888888.00000,
914,-888888.00000,-888888.00000,-888888.00000,1,140,-0.6,0.8,-888888.00000,-888888.00000,
883,-888888.00000,-888888.00000,-888888.00000,3.1,180,0,3.1,-888888.00000,-888888.00000,
850,-888888.00000,19,15.2,2.1,160,-0.7,2,78.6,-888888.00000,
824,-888888.00000,-888888.00000,-888888.00000,3.1,145,-1.8,2.5,-888888.00000,-888888.00000,
768,-888888.00000,-888888.00000,-888888.00000,4.1,125,-3.4,2.4,-888888.00000,-888888.00000,
736,-888888.00000,12,6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,66.7,-888888.00000,
715,-888888.00000,-888888.00000,-888888.00000,3.1,165,-0.8,3,-888888.00000,-888888.00000,
700,-888888.00000,9.6,5.1,2.6,160,-0.9,2.4,73.5,-888888.00000,
690,-888888.00000,-888888.00000,-888888.00000,3.6,170,-0.6,3.5,-888888.00000,-888888.00000,
672,-888888.00000,6.6,4.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,86.5,-888888.00000,
665,-888888.00000,-888888.00000,-888888.00000,0.5,215,0.3,0.4,-888888.00000,-888888.00000,
641,-888888.00000,-888888.00000,-888888.00000,1.5,115,-1.4,0.6,-888888.00000,-888888.00000,
617,-888888.00000,4.4,-2.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.4,-888888.00000,
595,-888888.00000,-888888.00000,-888888.00000,2.1,340,0.7,-2,-888888.00000,-888888.00000,
574,-888888.00000,-888888.00000,-888888.00000,2.6,25,-1.1,-2.4,-888888.00000,-888888.00000,
572,-888888.00000,0,-2.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81.4,-888888.00000,
553,-888888.00000,-888888.00000,-888888.00000,1.5,65,-1.4,-0.6,-888888.00000,-888888.00000,
512,-888888.00000,-888888.00000,-888888.00000,6.7,75,-6.5,-1.7,-888888.00000,-888888.00000,
502,-888888.00000,-6.5,-7.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,91.2,-888888.00000,
500,-888888.00000,-6.3,-8.2,7.7,70,-7.2,-2.6,86.4,-888888.00000,
486,-888888.00000,-6.1,-13.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,57.7,-888888.00000,
474,-888888.00000,-888888.00000,-888888.00000,5.1,65,-4.6,-2.2,-888888.00000,-888888.00000,
456,-888888.00000,-888888.00000,-888888.00000,5.7,100,-5.6,1,-888888.00000,-888888.00000,
439,-888888.00000,-888888.00000,-888888.00000,6.2,65,-5.6,-2.6,-888888.00000,-888888.00000,
420,-888888.00000,-12.5,-19.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,55.9,-888888.00000,
400,7610,-15.3,-22.3,7.2,45,-5.1,-5.1,55.1,-888888.00000,
390,-888888.00000,-888888.00000,-888888.00000,5.1,45,-3.6,-3.6,-888888.00000,-888888.00000,
378,-888888.00000,-18.5,-24.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,59.2,-888888.00000,
375,-888888.00000,-888888.00000,-888888.00000,3.6,45,-2.5,-2.5,-888888.00000,-888888.00000,
360,-888888.00000,-888888.00000,-888888.00000,3.1,40,-2,-2.4,-888888.00000,-888888.00000,
347,-888888.00000,-22.1,-30.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,48.3,-888888.00000,
