LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-0.79355,100.28917,96163,Stasiun Meteorologi Minangkabau,FM 35,from CIPS,6,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1008,-888888.00000,24.8,22.1,1,40,-0.6,-0.8,85,-888888.00000,
1007,-888888.00000,24,21.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,87,-888888.00000,
1003,-888888.00000,26.2,21.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,74.5,-888888.00000,
1000,79,27.6,21.6,1.5,20,-0.5,-1.4,69.8,-888888.00000,
925,769,23.4,19.6,2.1,340,0.7,-2,79.2,-888888.00000,
850,1504,19.2,15.4,1.5,150,-0.7,1.3,78.6,-888888.00000,
700,3146,9.8,4.8,3.1,285,3,-0.8,71,-888888.00000,
500,5870,-5.9,-15.9,6.2,130,-4.7,4,45.1,-888888.00000,
400,7590,-14.3,-29.3,10.3,90,-10.3,0,26.9,-888888.00000,
300,9710,-29.9,-42.9,22.1,40,-14.2,-16.9,27.1,-888888.00000,
250,10980,-39.7,-51.7,28.8,55,-23.6,-16.5,26.7,-888888.00000,
200,12470,-51.3,-67.3,29.8,55,-24.4,-17.1,13.1,-888888.00000,
150,14270,-66.7,-74.7,26.8,60,-23.2,-13.4,31.5,-888888.00000,
100,16610,-82.9,-86.9,27.3,70,-25.7,-9.3,50.4,-888888.00000,
95,-888888.00000,-82.9,-87.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,42.2,-888888.00000,
92,-888888.00000,-888888.00000,-888888.00000,28.3,75,-27.3,-7.3,-888888.00000,-888888.00000,
89,-888888.00000,-86.1,-89.4,27.3,80,-26.9,-4.7,55.6,-888888.00000,
88,-888888.00000,-83.9,-89.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,34.8,-888888.00000,
87,-888888.00000,-888888.00000,-888888.00000,24.2,95,-24.1,2.1,-888888.00000,-888888.00000,
78,-888888.00000,-888888.00000,-888888.00000,23.1,95,-23,2,-888888.00000,-888888.00000,
77,-888888.00000,-76.9,-85.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,22.8,-888888.00000,
73,-888888.00000,-69.5,-85.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,8.2,-888888.00000,
70,-888888.00000,-888888.00000,-888888.00000,19.5,115,-17.7,8.2,-888888.00000,-888888.00000,
70,18640,-67.1,-86.1,19.5,115,-17.7,8.2,5.2,-888888.00000,
64,-888888.00000,-888888.00000,-888888.00000,20.1,100,-19.8,3.5,-888888.00000,-888888.00000,
63,-888888.00000,-67.1,-93.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,1.5,-888888.00000,
