LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
1.54575,124.9234,97014,Stasiun Meteorologi Sam Ratulangi,FM 35,from CIPS,80,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1003,-888888.00000,27.6,24,4.1,130,-3.1,2.6,80.8,-888888.00000,
1000,103,27.4,21.4,1.5,135,-1.1,1.1,69.8,-888888.00000,
982,-888888.00000,26.8,19.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,65.5,-888888.00000,
946,-888888.00000,-888888.00000,-888888.00000,7.2,160,-2.5,6.8,-888888.00000,-888888.00000,
925,793,24,17,6.2,155,-2.6,5.6,64.9,-888888.00000,
914,-888888.00000,-888888.00000,-888888.00000,4.6,160,-1.6,4.3,-888888.00000,-888888.00000,
883,-888888.00000,-888888.00000,-888888.00000,2.6,140,-1.7,2,-888888.00000,-888888.00000,
853,-888888.00000,-888888.00000,-888888.00000,0.5,95,-0.5,0,-888888.00000,-888888.00000,
850,1531,19.6,12.6,0.5,95,-0.5,0,64,-888888.00000,
842,-888888.00000,19,13,-888888.00000,-888888.00000,-888888.00000,-888888.00000,68.2,-888888.00000,
824,-888888.00000,-888888.00000,-888888.00000,1.5,230,1.1,1,-888888.00000,-888888.00000,
770,-888888.00000,15.8,4.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,48,-888888.00000,
768,-888888.00000,-888888.00000,-888888.00000,1.5,245,1.4,0.6,-888888.00000,-888888.00000,
741,-888888.00000,-888888.00000,-888888.00000,2.1,330,1.1,-1.8,-888888.00000,-888888.00000,
728,-888888.00000,13,5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,58.3,-888888.00000,
717,-888888.00000,12.8,-2.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,35.2,-888888.00000,
702,-888888.00000,11.8,-7.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,25.8,-888888.00000,
700,3179,11.6,-8.4,1,280,1,-0.2,23.8,-888888.00000,
690,-888888.00000,-888888.00000,-888888.00000,2.1,235,1.7,1.2,-888888.00000,-888888.00000,
689,-888888.00000,10.8,-2.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,40.2,-888888.00000,
663,-888888.00000,8.4,-1.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,49.4,-888888.00000,
651,-888888.00000,8,-12,-888888.00000,-888888.00000,-888888.00000,-888888.00000,22.8,-888888.00000,
629,-888888.00000,5.8,-12.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,26.1,-888888.00000,
619,-888888.00000,-888888.00000,-888888.00000,3.6,280,3.5,-0.6,-888888.00000,-888888.00000,
615,-888888.00000,4.4,-7.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,41.4,-888888.00000,
610,-888888.00000,3.8,-2.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,64.9,-888888.00000,
596,-888888.00000,-888888.00000,-888888.00000,4.1,255,4,1.1,-888888.00000,-888888.00000,
574,-888888.00000,-888888.00000,-888888.00000,6.7,230,5.1,4.3,-888888.00000,-888888.00000,
567,-888888.00000,0,-4.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,71.2,-888888.00000,
557,-888888.00000,-0.9,-8.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,54.6,-888888.00000,
553,-888888.00000,-888888.00000,-888888.00000,5.7,260,5.6,1,-888888.00000,-888888.00000,
552,-888888.00000,-1.5,-6.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,70.9,-888888.00000,
549,-888888.00000,-1.9,-5.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,78.2,-888888.00000,
545,-888888.00000,-1.9,-5.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,75.8,-888888.00000,
540,-888888.00000,-1.3,-10.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,50.4,-888888.00000,
533,-888888.00000,-888888.00000,-888888.00000,1,275,1,-0.1,-888888.00000,-888888.00000,
513,-888888.00000,-888888.00000,-888888.00000,3.6,125,-2.9,2.1,-888888.00000,-888888.00000,
500,5900,-4.9,-12.9,5.1,130,-3.9,3.3,53.5,-888888.00000,
494,-888888.00000,-888888.00000,-888888.00000,6.2,140,-4,4.7,-888888.00000,-888888.00000,
460,-888888.00000,-9.7,-13.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,71.4,-888888.00000,
423,-888888.00000,-888888.00000,-888888.00000,12.9,80,-12.7,-2.2,-888888.00000,-888888.00000,
406,-888888.00000,-888888.00000,-888888.00000,13.4,80,-13.2,-2.3,-888888.00000,-888888.00000,
400,7620,-17.1,-23.1,12.9,85,-12.9,-1.1,59.6,-888888.00000,
379,-888888.00000,-19.7,-27.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,49,-888888.00000,
375,-888888.00000,-888888.00000,-888888.00000,18.5,85,-18.4,-1.6,-888888.00000,-888888.00000,
374,-888888.00000,-20.3,-28.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,48.8,-888888.00000,
372,-888888.00000,-20.5,-29.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,44.4,-888888.00000,
369,-888888.00000,-20.1,-37.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,20.5,-888888.00000,
