LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-10.1678,123.67039,97372,Stasiun Meteorologi Eltari,FM 35,from CIPS,102,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1001,-888888.00000,26.6,18.6,3.1,110,-2.9,1.1,61.5,-888888.00000,
1000,115,26.6,17.6,-888888.00000,0,-888888.00000,-888888.00000,57.8,-888888.00000,
953,-888888.00000,23.2,15.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.7,-888888.00000,
925,797,22.8,14.8,8.2,55,-6.7,-4.7,60.7,-888888.00000,
914,-888888.00000,-888888.00000,-888888.00000,7.7,70,-7.2,-2.6,-888888.00000,-888888.00000,
911,-888888.00000,22.2,13.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,56.7,-888888.00000,
853,-888888.00000,-888888.00000,-888888.00000,8.2,65,-7.4,-3.5,-888888.00000,-888888.00000,
850,1530,16.8,12.8,8.2,65,-7.4,-3.5,77.3,-888888.00000,
838,-888888.00000,15.6,12.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,82.9,-888888.00000,
795,-888888.00000,-888888.00000,-888888.00000,4.1,20,-1.4,-3.9,-888888.00000,-888888.00000,
767,-888888.00000,-888888.00000,-888888.00000,1.5,70,-1.4,-0.5,-888888.00000,-888888.00000,
740,-888888.00000,-888888.00000,-888888.00000,3.6,55,-2.9,-2.1,-888888.00000,-888888.00000,
727,-888888.00000,9.8,8.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,91,-888888.00000,
714,-888888.00000,-888888.00000,-888888.00000,6.2,55,-5.1,-3.6,-888888.00000,-888888.00000,
710,-888888.00000,10,6.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,80,-888888.00000,
700,3166,9.4,6.2,2.6,45,-1.8,-1.8,80.4,-888888.00000,
689,-888888.00000,-888888.00000,-888888.00000,2.6,35,-1.5,-2.1,-888888.00000,-888888.00000,
671,-888888.00000,6.2,5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,92,-888888.00000,
648,-888888.00000,6,0,-888888.00000,-888888.00000,-888888.00000,-888888.00000,65.4,-888888.00000,
640,-888888.00000,5.4,0.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,71.2,-888888.00000,
638,-888888.00000,5.4,1.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,75.4,-888888.00000,
637,-888888.00000,5.4,1.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,73.8,-888888.00000,
633,-888888.00000,5.8,-7.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,38.7,-888888.00000,
632,-888888.00000,6.2,-12.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,24.2,-888888.00000,
622,-888888.00000,5.8,-15.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,20.5,-888888.00000,
595,-888888.00000,-888888.00000,-888888.00000,4.6,250,4.3,1.6,-888888.00000,-888888.00000,
552,-888888.00000,-888888.00000,-888888.00000,2.6,245,2.4,1.1,-888888.00000,-888888.00000,
549,-888888.00000,0,-12,-888888.00000,-888888.00000,-888888.00000,-888888.00000,40,-888888.00000,
526,-888888.00000,-1.5,-16.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,30.9,-888888.00000,
