LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-3.442,114.754,96685,Stasiun Meteorologi Syamsudin Noor,FM 35,from CIPS,32,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1010,-888888.00000,26.2,24.8,2.1,310,1.6,-1.3,92,-888888.00000,
1000,107,25.6,22.3,1,360,0,-1,82,-888888.00000,
978,-888888.00000,-888888.00000,-888888.00000,4.1,110,-3.9,1.4,-888888.00000,-888888.00000,
946,-888888.00000,-888888.00000,-888888.00000,7.7,125,-6.3,4.4,-888888.00000,-888888.00000,
925,789,23,17,9.8,125,-8,5.6,69,-888888.00000,
882,-888888.00000,-888888.00000,-888888.00000,7.2,130,-5.5,4.6,-888888.00000,-888888.00000,
871,-888888.00000,20.4,12.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.1,-888888.00000,
852,-888888.00000,-888888.00000,-888888.00000,3.1,100,-3.1,0.5,-888888.00000,-888888.00000,
850,1523,19.2,11.2,2.6,95,-2.6,0.2,59.8,-888888.00000,
837,-888888.00000,17.8,14.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81.5,-888888.00000,
823,-888888.00000,-888888.00000,-888888.00000,2.1,45,-1.5,-1.5,-888888.00000,-888888.00000,
814,-888888.00000,17.6,8.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,55.6,-888888.00000,
769,-888888.00000,15.2,2.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,41.5,-888888.00000,
767,-888888.00000,-888888.00000,-888888.00000,1.5,95,-1.5,0.1,-888888.00000,-888888.00000,
744,-888888.00000,13,6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,62.5,-888888.00000,
740,-888888.00000,-888888.00000,-888888.00000,1.5,55,-1.2,-0.9,-888888.00000,-888888.00000,
718,-888888.00000,11.6,-1.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,40.5,-888888.00000,
715,-888888.00000,-888888.00000,-888888.00000,0.5,0,0,-0.5,-888888.00000,-888888.00000,
705,-888888.00000,12.6,-22.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,7,-888888.00000,
700,3174,12.2,-22.8,1,185,0.1,1,6.9,-888888.00000,
690,-888888.00000,-888888.00000,-888888.00000,1.5,265,1.5,0.1,-888888.00000,-888888.00000,
688,-888888.00000,10.8,-5.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,32.1,-888888.00000,
667,-888888.00000,9.8,-19.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,11.1,-888888.00000,
665,-888888.00000,-888888.00000,-888888.00000,1.5,110,-1.4,0.5,-888888.00000,-888888.00000,
618,-888888.00000,-888888.00000,-888888.00000,3.1,95,-3.1,0.3,-888888.00000,-888888.00000,
597,-888888.00000,4,-10,-888888.00000,-888888.00000,-888888.00000,-888888.00000,35.3,-888888.00000,
596,-888888.00000,-888888.00000,-888888.00000,2.1,55,-1.7,-1.2,-888888.00000,-888888.00000,
574,-888888.00000,-888888.00000,-888888.00000,3.6,145,-2.1,2.9,-888888.00000,-888888.00000,
553,-888888.00000,-888888.00000,-888888.00000,4.1,190,0.7,4,-888888.00000,-888888.00000,
543,-888888.00000,0,-16,-888888.00000,-888888.00000,-888888.00000,-888888.00000,28.9,-888888.00000,
533,-888888.00000,-888888.00000,-888888.00000,5.1,155,-2.2,4.6,-888888.00000,-888888.00000,
513,-888888.00000,-888888.00000,-888888.00000,4.6,195,1.2,4.4,-888888.00000,-888888.00000,
500,5900,-5.3,-15.3,3.6,170,-0.6,3.5,45.3,-888888.00000,
475,-888888.00000,-888888.00000,-888888.00000,8.2,95,-8.2,0.7,-888888.00000,-888888.00000,
474,-888888.00000,-8.1,-15.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,57.1,-888888.00000,
457,-888888.00000,-888888.00000,-888888.00000,8.7,120,-7.5,4.3,-888888.00000,-888888.00000,
448,-888888.00000,-10.5,-21.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,40.1,-888888.00000,
423,-888888.00000,-888888.00000,-888888.00000,6.2,125,-5.1,3.6,-888888.00000,-888888.00000,
406,-888888.00000,-888888.00000,-888888.00000,7.7,140,-4.9,5.9,-888888.00000,-888888.00000,
400,7620,-16.7,-23.7,7.7,140,-4.9,5.9,54.7,-888888.00000,
372,-888888.00000,-21.1,-23.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81.7,-888888.00000,
360,-888888.00000,-888888.00000,-888888.00000,11.8,75,-11.4,-3.1,-888888.00000,-888888.00000,
353,-888888.00000,-22.9,-30.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,48,-888888.00000,
346,-888888.00000,-888888.00000,-888888.00000,16.5,75,-15.9,-4.3,-888888.00000,-888888.00000,
345,-888888.00000,-22.7,-39.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,19.7,-888888.00000,
331,-888888.00000,-23.1,-50.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,6.6,-888888.00000,
300,9730,-28.1,-58.1,20.1,70,-18.9,-6.9,3.9,-888888.00000,
269,-888888.00000,-888888.00000,-888888.00000,20.6,80,-20.3,-3.6,-888888.00000,-888888.00000,
250,11010,-38.5,-69.5,14.4,90,-14.4,0,2.4,-888888.00000,
236,-888888.00000,-888888.00000,-888888.00000,12.9,85,-12.9,-1.1,-888888.00000,-888888.00000,
216,-888888.00000,-888888.00000,-888888.00000,13.9,95,-13.8,1.2,-888888.00000,-888888.00000,
209,-888888.00000,-47.9,-76.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,2.2,-888888.00000,
200,12500,-50.5,-79.5,17.5,100,-17.2,3,1.9,-888888.00000,
197,-888888.00000,-888888.00000,-888888.00000,17.5,100,-17.2,3,-888888.00000,-888888.00000,
152,-888888.00000,-66.5,-74.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,31.6,-888888.00000,
150,14310,-67.1,-75.1,21.1,110,-19.8,7.2,31.4,-888888.00000,
121,-888888.00000,-888888.00000,-888888.00000,18,100,-17.7,3.1,-888888.00000,-888888.00000,
109,-888888.00000,-888888.00000,-888888.00000,11.3,110,-10.6,3.9,-888888.00000,-888888.00000,
100,16660,-81.3,-89.3,10.8,130,-8.3,6.9,25.2,-888888.00000,
98,-888888.00000,-888888.00000,-888888.00000,10.8,135,-7.6,7.6,-888888.00000,-888888.00000,
92,-888888.00000,-888888.00000,-888888.00000,11.3,125,-9.3,6.5,-888888.00000,-888888.00000,
90,-888888.00000,-84.3,-90.3,15.4,120,-13.3,7.7,34.6,-888888.00000,
88,-888888.00000,-888888.00000,-888888.00000,14.9,110,-14,5.1,-888888.00000,-888888.00000,
86,-888888.00000,-81.7,-88.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,30,-888888.00000,
83,-888888.00000,-77.1,-88.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,16,-888888.00000,
79,-888888.00000,-888888.00000,-888888.00000,13.4,90,-13.4,0,-888888.00000,-888888.00000,
70,18700,-72.1,-89.1,13.4,60,-11.6,-6.7,6.3,-888888.00000,
68,-888888.00000,-71.5,-90.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,4.5,-888888.00000,
68,-888888.00000,-888888.00000,-888888.00000,13.4,65,-12.1,-5.7,-888888.00000,-888888.00000,
66,-888888.00000,-68.1,-91.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,2.5,-888888.00000,
64,-888888.00000,-888888.00000,-888888.00000,9.8,105,-9.5,2.5,-888888.00000,-888888.00000,
60,-888888.00000,-70.5,-98.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.8,-888888.00000,
57,-888888.00000,-67.5,-98.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
53,-888888.00000,-888888.00000,-888888.00000,7.7,165,-2,7.4,-888888.00000,-888888.00000,
50,-888888.00000,-888888.00000,-888888.00000,3.6,160,-1.2,3.4,-888888.00000,-888888.00000,
50,20710,-67.7,-99.7,3.6,160,-1.2,3.4,0.4,-888888.00000,
50,-888888.00000,-67.9,-99.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.4,-888888.00000,
48,-888888.00000,-888888.00000,-888888.00000,3.1,240,2.7,1.6,-888888.00000,-888888.00000,
47,-888888.00000,-63.5,-96.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
45,-888888.00000,-888888.00000,-888888.00000,4.1,240,3.6,2.1,-888888.00000,-888888.00000,
41,-888888.00000,-888888.00000,-888888.00000,4.1,315,2.9,-2.9,-888888.00000,-888888.00000,
39,-888888.00000,-888888.00000,-888888.00000,2.6,10,-0.5,-2.6,-888888.00000,-888888.00000,
37,-888888.00000,-888888.00000,-888888.00000,9.8,345,2.5,-9.5,-888888.00000,-888888.00000,
37,-888888.00000,-61.9,-94.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
34,-888888.00000,-57.3,-91.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.6,-888888.00000,
31,-888888.00000,-888888.00000,-888888.00000,17,305,13.9,-9.8,-888888.00000,-888888.00000,
30,23880,-55.3,-90.3,20.6,280,20.3,-3.6,0.5,-888888.00000,
30,-888888.00000,-54.9,-89.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
28,-888888.00000,-888888.00000,-888888.00000,19,265,18.9,1.7,-888888.00000,-888888.00000,
26,-888888.00000,-58.1,-92.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
23,-888888.00000,-888888.00000,-888888.00000,18.5,250,17.4,6.3,-888888.00000,-888888.00000,
23,-888888.00000,-58.7,-92.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
22,-888888.00000,-888888.00000,-888888.00000,13.9,255,13.4,3.6,-888888.00000,-888888.00000,
20,26450,-55.3,-90.3,14.4,265,14.3,1.3,0.5,-888888.00000,
20,-888888.00000,-54.9,-89.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
18,-888888.00000,-888888.00000,-888888.00000,12.3,255,11.9,3.2,-888888.00000,-888888.00000,
17,-888888.00000,-56.7,-91.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,0.5,-888888.00000,
17,-888888.00000,-888888.00000,-888888.00000,11.3,245,10.2,4.8,-888888.00000,-888888.00000,
15,-888888.00000,-54.5,-89.5,7.7,295,7,-3.3,0.6,-888888.00000,
