LAT,LON,ID,STA_NAME,CODE,SOURCE,ELEVATION,DATE_TIME,SEA_LEVEL_PRESSURE,SURFACE_PRESSURE,PRECIPITABLE_WATER
-5.07,119.55,97180,Stasiun Meteorologi Sultan Hasanuddin,FM 35,from CIPS,14,2024-07-29 00:00,-888888.00000,-888888.00000,-888888.00000
PRES,HGHT,TEMP,DWPT,WSPEED,WDRCT,UWND,VWND,RELH,THICKNESS,
1010,-888888.00000,25,22.4,-888888.00000,0,-888888.00000,-888888.00000,85.5,-888888.00000,
1003,-888888.00000,26.6,20.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,69.7,-888888.00000,
1000,94,26.8,20.8,1.5,115,-1.4,0.6,69.7,-888888.00000,
983,-888888.00000,27,20,-888888.00000,-888888.00000,-888888.00000,-888888.00000,65.6,-888888.00000,
977,-888888.00000,-888888.00000,-888888.00000,2.6,65,-2.4,-1.1,-888888.00000,-888888.00000,
944,-888888.00000,-888888.00000,-888888.00000,5.7,70,-5.4,-1.9,-888888.00000,-888888.00000,
925,784,22.8,18.6,3.1,60,-2.7,-1.6,77.2,-888888.00000,
913,-888888.00000,-888888.00000,-888888.00000,3.6,50,-2.8,-2.3,-888888.00000,-888888.00000,
912,-888888.00000,21.8,18.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,81,-888888.00000,
882,-888888.00000,-888888.00000,-888888.00000,2.6,105,-2.5,0.7,-888888.00000,-888888.00000,
874,-888888.00000,21.4,15.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,68.7,-888888.00000,
850,1515,19.8,13.8,1,65,-0.9,-0.4,68.3,-888888.00000,
823,-888888.00000,-888888.00000,-888888.00000,3.6,70,-3.4,-1.2,-888888.00000,-888888.00000,
794,-888888.00000,-888888.00000,-888888.00000,4.1,155,-1.7,3.7,-888888.00000,-888888.00000,
767,-888888.00000,-888888.00000,-888888.00000,3.6,130,-2.8,2.3,-888888.00000,-888888.00000,
740,-888888.00000,-888888.00000,-888888.00000,2.1,140,-1.3,1.6,-888888.00000,-888888.00000,
705,-888888.00000,9.6,6.8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,82.7,-888888.00000,
700,3162,9.8,6,2.6,90,-2.6,0,77.2,-888888.00000,
689,-888888.00000,-888888.00000,-888888.00000,3.1,75,-3,-0.8,-888888.00000,-888888.00000,
684,-888888.00000,8.6,6.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,84.9,-888888.00000,
664,-888888.00000,-888888.00000,-888888.00000,3.6,65,-3.3,-1.5,-888888.00000,-888888.00000,
654,-888888.00000,7.6,-1.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,52.9,-888888.00000,
648,-888888.00000,7.2,0.2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,61.1,-888888.00000,
633,-888888.00000,7,-8,-888888.00000,-888888.00000,-888888.00000,-888888.00000,33.5,-888888.00000,
608,-888888.00000,5,-2,-888888.00000,-888888.00000,-888888.00000,-888888.00000,60.6,-888888.00000,
595,-888888.00000,-888888.00000,-888888.00000,2.1,110,-2,0.7,-888888.00000,-888888.00000,
574,-888888.00000,-888888.00000,-888888.00000,5.7,115,-5.2,2.4,-888888.00000,-888888.00000,
569,-888888.00000,1.4,-4.6,-888888.00000,-888888.00000,-888888.00000,-888888.00000,64.3,-888888.00000,
564,-888888.00000,1.6,-10.4,-888888.00000,-888888.00000,-888888.00000,-888888.00000,40.5,-888888.00000,
546,-888888.00000,0,-9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,50.8,-888888.00000,
532,-888888.00000,-888888.00000,-888888.00000,3.6,95,-3.6,0.3,-888888.00000,-888888.00000,
500,5900,-4.7,-13.7,6.7,90,-6.7,0,49.4,-888888.00000,
475,-888888.00000,-888888.00000,-888888.00000,9.3,105,-9,2.4,-888888.00000,-888888.00000,
462,-888888.00000,-8.7,-16.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,52.4,-888888.00000,
453,-888888.00000,-9.1,-22.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,34,-888888.00000,
426,-888888.00000,-13.1,-23.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,42.9,-888888.00000,
400,7620,-15.3,-29.3,12.3,65,-11.1,-5.2,29.2,-888888.00000,
391,-888888.00000,-888888.00000,-888888.00000,11.8,65,-10.7,-5,-888888.00000,-888888.00000,
380,-888888.00000,-17.7,-34.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,21.2,-888888.00000,
375,-888888.00000,-888888.00000,-888888.00000,12.9,80,-12.7,-2.2,-888888.00000,-888888.00000,
352,-888888.00000,-21.7,-41.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,14.6,-888888.00000,
346,-888888.00000,-888888.00000,-888888.00000,15.9,75,-15.4,-4.1,-888888.00000,-888888.00000,
332,-888888.00000,-888888.00000,-888888.00000,13.9,85,-13.8,-1.2,-888888.00000,-888888.00000,
328,-888888.00000,-25.7,-44.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,15.1,-888888.00000,
320,-888888.00000,-26.3,-47.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,12,-888888.00000,
316,-888888.00000,-27.1,-49.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,10.5,-888888.00000,
313,-888888.00000,-27.7,-49.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,10.4,-888888.00000,
312,-888888.00000,-27.9,-49.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,10.4,-888888.00000,
310,-888888.00000,-28.3,-38.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,37.7,-888888.00000,
308,-888888.00000,-28.5,-33.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,62.1,-888888.00000,
305,-888888.00000,-29.3,-32.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,70.9,-888888.00000,
303,-888888.00000,-29.5,-33.3,-888888.00000,-888888.00000,-888888.00000,-888888.00000,69.5,-888888.00000,
301,-888888.00000,-29.7,-33.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,66.8,-888888.00000,
300,9730,-29.9,-34.9,11.8,90,-11.8,0,61.7,-888888.00000,
299,-888888.00000,-29.9,-36.9,-888888.00000,-888888.00000,-888888.00000,-888888.00000,50.5,-888888.00000,
298,-888888.00000,-29.7,-44.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,21.9,-888888.00000,
293,-888888.00000,-30.5,-54.5,-888888.00000,-888888.00000,-888888.00000,-888888.00000,7.7,-888888.00000,
250,11000,-39.7,-62.7,10.8,65,-9.8,-4.6,6.8,-888888.00000,
236,-888888.00000,-888888.00000,-888888.00000,11.8,70,-11.1,-4,-888888.00000,-888888.00000,
225,-888888.00000,-888888.00000,-888888.00000,11.3,90,-11.3,0,-888888.00000,-888888.00000,
206,-888888.00000,-48.7,-77.7,18,115,-16.3,7.6,2.1,-888888.00000,
200,12490,-50.5,-78.5,18.5,110,-17.4,6.3,2.3,-888888.00000,
163,-888888.00000,-888888.00000,-888888.00000,24.7,135,-17.5,17.5,-888888.00000,-888888.00000,
155,-888888.00000,-888888.00000,-888888.00000,25.7,135,-18.2,18.2,-888888.00000,-888888.00000,
152,-888888.00000,-65.7,-74.7,-888888.00000,-888888.00000,-888888.00000,-888888.00000,27.5,-888888.00000,
150,14290,-66.5,-75.5,26.2,135,-18.5,18.5,27.2,-888888.00000,
147,-888888.00000,-888888.00000,-888888.00000,25.2,125,-20.6,14.5,-888888.00000,-888888.00000,
140,-888888.00000,-888888.00000,-888888.00000,23.1,115,-20.9,9.8,-888888.00000,-888888.00000,
127,-888888.00000,-888888.00000,-888888.00000,18.5,100,-18.2,3.2,-888888.00000,-888888.00000,
126,-888888.00000,-72.1,-85.1,-888888.00000,-888888.00000,-888888.00000,-888888.00000,12.7,-888888.00000,
121,-888888.00000,-888888.00000,-888888.00000,13.9,110,-13.1,4.8,-888888.00000,-888888.00000,
100,16670,-80.1,-90.1,10.8,115,-9.8,4.6,17.9,-888888.00000,
